Keyword,Title,Link,Occupation,Company,Specs,Location
machine learning,AI Engineer,https://wuzzuf.net/jobs/p/iEshzfRXs8Sv-AI-Engineer-Quantanite-Cairo-Egypt,Full TimeOn-site,Quantanite,Full TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Algorithms · Computer Science · Information Technology (IT) · Engineering · Python · Software,"Maadi, Cairo, Egypt "
machine learning,AI Solutions Architect,https://wuzzuf.net/jobs/p/NvNlX163ebd3-AI-Solutions-Architect-Get-AI-Driven-Cairo-Egypt,Full TimeRemote,Get AI Driven,Full TimeRemoteExperienced · 5 - 15 Yrs of Exp · IT/Software Development · AI · Architecture · Computer Engineering · APIs · Computer Science · DevOps · Engineering · English · JavaScript,"Cairo, Egypt "
machine learning,"Senior Data Scientist - QuantumBlack, AI by McKinsey",https://wuzzuf.net/jobs/p/g/2xw0y7nwumg0-senior-data-scientist---quantumblack-ai-by-mckinsey-quantumblack-ai-by-mckinsey-riyadh-saudi-arabia,Full Time,"QuantumBlack, AI by McKinsey",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Python · Engineering · Data Analysis · Software Development,"Riyadh, Saudi Arabia "
machine learning,Research Scientist (AI) - Interactome,https://wuzzuf.net/jobs/p/g/erptsjic5i49-research-scientist-ai---interactome-genbio-ai-dubai-united-arab-emirates,Full Time,GenBio AI,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · python · research · software engineering · machine learning,"Dubai, United Arab Emirates "
machine learning,Junior Technical Support Engineer – Fresh Graduates Program,https://wuzzuf.net/jobs/p/O9dPht8vYERO-Junior-Technical-Support-Engineer-–-Fresh-Graduates-Program-Cairo-Egypt,Full TimeOn-site,Confidential,Full TimeOn-siteEntry Level · Banking · Installation/Maintenance/Repair · IT/Software Development · Maintenance · Technical Support · Engineering · Mechanical Engineering · Electrical Engineering · Electronics Engineering · Hardware Troubleshooting,"New Cairo, Cairo, Egypt "
machine learning,Senior Data Engineer,https://wuzzuf.net/jobs/p/hzsom9fvxxve-senior-data-engineer-erada-cairo-egypt,Full TimeHybrid,Erada,Full TimeHybridExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering · Computer Science · Spark · Data Warehousing · Big Data · ETL · Data Modeling,"Maadi, Cairo, Egypt "
machine learning,Next-JS Mid level Developer,https://wuzzuf.net/jobs/p/ctwiqqwu50qr-next-js-mid-level-developer-techflipp-cairo-egypt,Full TimeRemote,Techflipp,Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · nextjs · Software Development · front-end · APIs · SSRS · Typescript · Software Engineering · UI · UI/UX,"Cairo, Egypt "
machine learning,Sr Java Developer,https://wuzzuf.net/jobs/p/ngobqzwqkaca-sr-java-developer-santechture-cairo-egypt,Full TimeHybrid,SANTECHTURE ,Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · AWS · Agile · APIs · Git · Information Technology (IT) · Java · MySQL · Software Development · Spring,"Sheraton, Cairo, Egypt "
machine learning,Data Governance Engineer,https://wuzzuf.net/jobs/p/olaufiqcjo1p-data-governance-engineer-mobily-infotech-ltd-india-cairo-egypt,Full TimeHybrid,MOBILY INFOTECH LTD INDIA,Full TimeHybridExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Management · Informatica · Axon · EDC · DATA PROTECTION,"Cairo, Egypt "
machine learning,AI & Computer Science Intern (Fresh Graduate),https://wuzzuf.net/internship/jkoigewkbh8y-ai-computer-science-intern-fresh-graduate-getsircles-digital-agency-cairo-egypt,InternshipOn-site,GetSircles Digital Agency,InternshipOn-siteEntry Level · Other · computer · AI · Computer Science · Information Technology (IT),"New Cairo, Cairo, Egypt "
machine learning,Telesales Representative,https://wuzzuf.net/jobs/p/Zm8G6Qfw4zow-Telesales-Representative-Riyadh-Saudi-Arabia,Full TimeOn-site,Confidential,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Service · Communication · Negotiation · Sales Target · sales skills · CRM Software · CRM · Telesales,"Riyadh, Saudi Arabia "
machine learning,Associate Vendor Acquisition,https://wuzzuf.net/internship/62usw4rqmm5p-associate-vendor-acquisition-souqpress-giza-egypt,InternshipOn-site,Souqpress,InternshipOn-siteEntry Level · Sales/Retail · vendor · Sales · communication skills · MS Office · Digital Marketing · Customer Service · Product Listing · Customer Care · Logistics,"6th of October, Giza, Egypt "
machine learning,Chatbot Developer,https://wuzzuf.net/jobs/p/lbj9cg78xnml-chatbot-developer-mobily-infotech-ltd-india-cairo-egypt,Full TimeHybrid,MOBILY INFOTECH LTD INDIA,Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · chatbot · Chatbot developer · Computer Science · Software Development · Information Technology (IT),"New Cairo, Cairo, Egypt "
machine learning,Mechanical Maintenance Engineer (injection Mold),https://wuzzuf.net/jobs/p/3ttzss59ja5h-mechanical-maintenance-engineer-injection-mold-giza-egypt,Full TimeOn-site,Confidential,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Maintenance · Engineering · mold · Molding · Plastics · Injection · Injection Molding · Mechanical Engineering,"6th of October, Giza, Egypt "
machine learning,"Data Scientist II - Analysis, Lifecycle",https://wuzzuf.net/jobs/p/g/k7xA6fsKSk11-Data-Scientist-II---Analysis-Lifecycle-talabat-Dubai-United-Arab-Emirates,Full Time,talabat,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,"Dubai, United Arab Emirates "
machine learning,Mechatronics Engineer (extensive experience).,https://wuzzuf.net/jobs/p/zhsicxiat4fs-mechatronics-engineer-extensive-experience-vceram-giza-egypt,Full TimeOn-site,Vceram,Full TimeOn-siteExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · Sales/Retail · Engineering - Mechanical/Electrical · CNC · 3D Printing · Electrical Engineering · Engineering · Maintenance · Mechanical · Mechanical Engineering,"Dokki, Giza, Egypt "
machine learning,Sr Data Engineer,https://wuzzuf.net/jobs/p/ftd0zh3jscqe-sr-data-engineer-santechture-cairo-egypt,Full TimeHybrid,SANTECHTURE ,Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Medical/Healthcare · Analyst/Research · Big Data · Engineering · Information Technology (IT) · Software Engineering · Troubleshooting · SQL · AWS,"Sheraton, Cairo, Egypt "
machine learning,Maintenance & Installation Engineer - Beni Suef | Minia | Sohag | Assiut | Qena,https://wuzzuf.net/jobs/p/wKoL3A3Qc88Q-Maintenance-Installation-Engineer---Beni-Suef-Minia-Sohag-Assiut-Qena-FinWay-Tech-Sohag-Egypt,Full TimeOn-site,FinWay Tech,Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Hardware · Installation · Maintenance · Mechatronics · Troubleshooting · Customer Service,"Sohag, Sohag, Egypt "
machine learning,Maintenance & Installation Engineer - Beni Suef | Minia | Sohag | Assiut | Qena - 2,https://wuzzuf.net/jobs/p/0Q6AOBMGdt57-Maintenance-Installation-Engineer---Beni-Suef-Minia-Sohag-Assiut-Qena---2-FinWay-Tech-Assiut-Egypt,Full TimeOn-site,FinWay Tech,Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Hardware · Customer Service · Installation · Maintenance · Mechanical · Mechatronics · Communication skills,"Assuit, Assiut, Egypt "
machine learning,Senior Devops Engineer,https://wuzzuf.net/jobs/p/l8tDZd9yVfEg-Senior-Devops-Engineer-Seoudi-Supermarket-Giza-Egypt,Full TimeHybrid,Seoudi Supermarket,Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · Computer Science · Design · Docker · Engineering · Information Technology (IT) · Linux · Git,"Sheikh Zayed, Giza, Egypt "
machine learning,Data Scientist,https://wuzzuf.net/jobs/p/9cSyIMzlasgg-Data-Scientist-HYVE-Technology-Consulting-Cairo-Egypt,Full TimeOn-site,HYVE Technology Consulting ,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Data · Data Science · data scientist · Engineering · Hadoop · Information Technology (IT) · Java · Python,"Cairo, Egypt "
machine learning,AI Engineering Manager,https://wuzzuf.net/jobs/p/HLmOXiA6ce45-AI-Engineering-Manager-Link-Development-Cairo-Egypt,Full TimeHybrid,Link Development,Full TimeHybridEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS · SQL Server,"Cairo, Egypt "
machine learning,Sales & Marketing Executive,https://wuzzuf.net/jobs/p/IhT0R9S7OMP0-Sales-Marketing-Executive-Areej-for-printing-machines-Cairo-Egypt,Full TimeOn-site,Areej for printing machines,Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Sales · Marketing · Customer Service · Communication · CRM · Creative · Sales Target · Digital Marketing,"Heliopolis, Cairo, Egypt "
machine learning,Pavement Assessment Engineer,https://wuzzuf.net/jobs/p/uYEdSj0GnbXa-Pavement-Assessment-Engineer-Citylogix-ME-Cairo-Egypt,Full TimeOn-site,Citylogix ME  ,Full TimeOn-siteEntry Level · 0 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · Engineering Services · Roads · Transportation engineering · Engineering · QA · Highways,"New Cairo, Cairo, Egypt "
machine learning,Technical Sales Manager,https://wuzzuf.net/jobs/p/nXewiqbe2TXb-Technical-Sales-Manager-Etkaan-Giza-Egypt,Full TimeHybrid,Etkaan ,Full TimeHybridManager · 5 - 12 Yrs of Exp · males_preferred · Business Development · Sales/Retail · Engineering · Packaging · Applied Arts · Sales · Science · Marketing · Technical Sales · Project Management,"Hadayek Alahram, Giza, Egypt "
machine learning,Senior Manager - Data Analytics,https://wuzzuf.net/jobs/p/1o9FGlZoipS7-Senior-Manager---Data-Analytics-Alshaya-Cairo-Egypt,Full TimeOn-site,Alshaya,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Analyst/Research · Sales/Retail · Data Analytics · CRM · Quantitative Research · Commercial Analysis · Performance Measurement · Loyalty Programme · Performance Analytics · Loyalty Programme Analytics,"Nasr City, Cairo, Egypt "
machine learning,AI Engineer,https://wuzzuf.net/jobs/p/LKZi0G12dQkT-AI-Engineer-Pure-Group-Cairo-Egypt,Full TimeOn-site,Pure Group ,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Engineering - Telecom/Technology · AI · LMS · FFT · Python · Engineering · Frameworks · PyTorch · TensorFlow · NLP,"Cairo, Egypt "
machine learning,Presales Engineer,https://wuzzuf.net/jobs/p/RRfdk86uBC0u-Presales-Engineer-Fixed-Solutions-Cairo-Egypt,Full TimeHybrid,Fixed Solutions,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Pre-Sales · Sales engineer · sales skills · Science · Software · Software Development · Computer Science,"Cairo, Egypt "
machine learning,Senior AI Developer,https://wuzzuf.net/jobs/p/RJDgdLwlGYTJ-Senior-AI-Developer-Global-Brands-Cairo-Egypt,Full TimeHybrid,Global Brands,Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · APIs · Information Technology (IT) · Python · Java · Software Development · Software · Computer Science,"New Cairo, Cairo, Egypt "
machine learning,Financial Intelligence Analyst,https://wuzzuf.net/jobs/p/g/hj1xdcwnan3g-financial-intelligence-analyst-liquidity-dubai-united-arab-emirates,Full Time,LIQUiDITY,Full TimeEntry Level · Accounting/Finance · IT/Software Development · Analyst/Research · Finance · Financial Analysis · Accounting · Microsoft Office · Commerce · Analysis · Financial Management,"Dubai, United Arab Emirates "
machine learning,Bioinformatician,https://wuzzuf.net/jobs/p/g/sf7kn5k5elay-bioinformatician-info-resume-edge---gcc-dubai-united-arab-emirates,Full Time,Info Resume Edge GCC,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · ai · analysis · artificial intelligence · bio-information · python · research,"Dubai, United Arab Emirates "
machine learning,Production Chemist,https://wuzzuf.net/jobs/p/y8ApocGsvDeA-Production-Chemist-Intertrade-Co-Sharqia-Egypt,Full TimeOn-site,Intertrade Co. ,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · R&D/Science · Other · Engineering - Other · Chemistry · quality · Communication skills · Microsoft Excel · Science · Testing · Engineering,"10th of Ramadan City, Sharqia, Egypt "
machine learning,"Quality Assurance Developer, Trilogy (Remote) - $60,000/year USD",https://wuzzuf.net/jobs/p/g/rxmffh4iaiyp-quality-assurance-developer-trilogy-remote---60000year-usd-trilogy-dubai-united-arab-emirates,Full Time,Trilogy,Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · quality assurance · quality control · computer science · information technology (it) · engineering · quality · qa,"Dubai, United Arab Emirates "
machine learning,"Site Reliability Engineer, IgniteTech (Remote) - $100,000/year USD",https://wuzzuf.net/jobs/p/g/0cKMNTCxbOz8-Site-Reliability-Engineer-IgniteTech-Remote---100000year-USD-Trilogy-Riyadh-Saudi-Arabia,Full Time,Trilogy,Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · engineering · computer science · information technology (it) · aws · software · design · devops,"Riyadh, Saudi Arabia "
machine learning,"Corporate Financial Controller, Trilogy (Remote) - $400,000/year USD",https://wuzzuf.net/jobs/p/g/xolrehdlxbfe-corporate-financial-controller-trilogy-remote---400000year-usd-trilogy-dubai-united-arab-emirates,Full Time,Trilogy,Full TimeSenior Management · Accounting/Finance · Operations/Management · Analyst/Research · accounting · finance · financial analysis · financial management · cpa · erp · mba,"Dubai, United Arab Emirates "
machine learning,Ubuntu Sales Engineer (Entry-Level),https://wuzzuf.net/jobs/p/g/4mg5VmXXEwDN-Ubuntu-Sales-Engineer-Entry-Level-Canonical-Makkah-Saudi-Arabia,Full Time,Canonical,Full TimeEntry Level · Sales/Retail · Engineering - Mechanical/Electrical · Engineering - Other · Sales · Sales Skills · Engineering · Sales Target · Electrical Engineering · Mechanical Engineering · Customer Service,"Makkah, Saudi Arabia "
machine learning,Automation Specialist,https://wuzzuf.net/jobs/p/g/TwizWkCi7OiQ-Automation-Specialist-Agile-Consultants-Dubai-United-Arab-Emirates,Full Time,Agile Consultants,Full TimeEntry Level · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · computer science · information technology (it) · marketing · engineering · sql · troubleshooting · automation,"Dubai, United Arab Emirates "
data analysis,Quality Data Analysis Engineer,https://wuzzuf.net/jobs/p/a8x5zkearpwa-quality-data-analysis-engineer-sumitomo-electric-egypt-giza-egypt,Full TimeOn-site,Sumitomo Electric Egypt,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Quality · Analyst/Research · Engineering - Mechanical/Electrical · SQL · Data Analysis · quality · Engineering · Microsoft Office · Communication,"6th of October, Giza, Egypt "
data analysis,Data Analysis Specialist ( Powe Bi ),https://wuzzuf.net/jobs/p/zoklfferutrq-data-analysis-specialist-powe-bi-global-tires-trading-and-distribution-cairo-egypt,Full TimeOn-site,Global Tires Trading and Distribution ,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Administration · IT/Software Development · Analyst/Research · Analysis · business · Data · Data Analysis · Engineering · English · Information Technology (IT),"New Cairo, Cairo, Egypt "
data analysis,Senior Data Analysis Officer,https://wuzzuf.net/jobs/p/pao81t32mxrm-senior-data-analysis-officer-med-right-for-medical-services-cairo-egypt,Full TimeOn-site,Med Right For Medical Services,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Business Development · Operations/Management · Analysis · Data Analytics · Data · Data Analysis · Medical,"Cairo, Egypt "
data analysis,Data Analysis Instructor (Excel - Power BI),https://wuzzuf.net/jobs/p/7gIvsdr5STr6-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt,Full TimePart TimeFreelance / ProjectOn-site,EpsilonAI,Full TimePart TimeFreelance / ProjectOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL,"Nasr City, Cairo, Egypt "
data analysis,Data analysis Instructor,https://wuzzuf.net/jobs/p/5bcryyspbs2m-data-analysis-instructor-yat-learning-centers-cairo-egypt,Full TimePart TimeFreelance / ProjectOn-site,Yat Learning Centers,Full TimePart TimeFreelance / ProjectOn-siteExperienced · 2 - 10 Yrs of Exp · Analyst/Research · Education/Teaching · Training/Instructor · Power BI · Analysis · Data · Data Analysis · SQL · Tableau,"Cairo, Egypt "
data analysis,Insurance Utilization Analysis,https://wuzzuf.net/jobs/p/htrmlsx4dnti-insurance-utilization-analysis-beyond-insurance-brokerage-cairo-egypt,Full TimeOn-site,Beyond Insurance Brokerage,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Medical/Healthcare · Analyst/Research · Data Analysis · Data Analytics · Pharmacy · Medical Insurance · Medical Utilization · fraud cases · consumptions · Insurance,"Maadi, Cairo, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/ymdqrionq3x5-data-analyst-ostool-transport-giza-egypt,Full TimeOn-site,Ostool Transport,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Microsoft Excel · business · Analysis · Market Research · English · Data Analysis · Power BI · Microsoft Powerpoint,"6th of October, Giza, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/qoc5v48otzkk-data-analyst-nucorp-cairo-egypt,Full TimeOn-site,NuCorp,Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Power BI · Data Analysis · Python · Reporting · Statistics · Information Technology (IT) · excel,"Sheraton, Cairo, Egypt "
data analysis,HR Data Analyst,https://wuzzuf.net/jobs/p/YsCm8uUEJVeH-HR-Data-Analyst-British-University-of-Egypt-Cairo-Egypt,Full TimeOn-site,British University of Egypt,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Administration · Data Analysis · HR · Human Resources · Analysis · Analytics,"Shorouk City, Cairo, Egypt "
data analysis,Power BI Data Analyst,https://wuzzuf.net/jobs/p/1WhRT9rSVulx-Power-BI-Data-Analyst-Zeina-Group-Giza-Egypt,Full TimeOn-site,Zeina Group,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Azure · BI · DAX · Microsoft Power BI · Power BI · Python,"Sheikh Zayed, Giza, Egypt "
data analysis,Data Analysis Manager,https://wuzzuf.net/jobs/p/Sa7NwmU90d5d-Data-Analysis-Manager-WUZZUF-Cairo-Egypt,Full TimeHybrid,WUZZUF,Full TimeHybridManager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel,"Maadi, Cairo, Egypt "
data analysis,Commercial Specialist (Data Analyst),https://wuzzuf.net/jobs/p/omgikhgm9m3c-commercial-specialist-data-analyst-oppo-egypt-cairo-egypt,Full TimeOn-site,OPPO Egypt ,Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Analyst/Research · Sales/Retail · Accounting · Finance · Invoices · Auditing · Selling Database · Selling Volume · Analyst · Commerce,"Nasr City, Cairo, Egypt "
data analysis,Business Planning and Performance Analysis Section Head,https://wuzzuf.net/jobs/p/ab8pa2sbu2uy-business-planning-and-performance-analysis-section-head-zerocarbon-cairo-egypt,Full TimeOn-site,ZeroCarbon ,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Administration · Business Development · Business Planning · Business Administration · Finance · Financial Analysis · Management · Budgeting · Planning,"Cairo, Egypt "
data analysis,Data Entry Specialist (Planning),https://wuzzuf.net/jobs/p/bx5v26m4ZFcE-Data-Entry-Specialist-Planning-Egyptian-Starch-and-Glucose-Manufacturing-Company-Qalubia-Egypt,Full TimeShift BasedOn-site,Egyptian Starch and Glucose  Manufacturing Company,Full TimeShift BasedOn-siteEntry Level · 1 - 2 Yrs of Exp · Administration · Other · accuracy · Data Entry · Data · entry · Microsoft Office · Skills · Analysis · Microsoft Excel,"Musturad, Qalubia, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/k8fJ6TOEajDp-Data-Analyst-Al-Ola-steel-Group-Giza-Egypt,Full TimeOn-site,Al Ola steel Group,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · communications · Analysis · Analyst · Computer Science · Data Analysis · Data · Data Analyst · Information Technology (IT),"Dokki, Giza, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/q1px30rwDi3L-Data-Analyst-Intaj-Alamal-Cairo-Egypt,Full TimeOn-site,Intaj Alamal,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Analyst/Research · Analytics · Analysis · Analyze · Data Analytics · Data Analysis · Data · Management,"Maadi, Cairo, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/vdcej0SqAOz1-Data-Analyst-je-x-Cairo-Egypt,Full TimeOn-site,je-x,Full TimeOn-siteManager · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · Data Analysis · Information Technology (IT) · Data · Data Analyst · Analyst,"New Cairo, Cairo, Egypt "
data analysis,Data Analyst,https://wuzzuf.net/jobs/p/y9nThxS2veUZ-Data-Analyst-Cairo-Egypt,Full TimeOn-site,Confidential,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyzing · Computer Science · Analysis · Data · Data Analysis · Engineering · Information Technology (IT),"Cairo, Egypt "
data analysis,Senior Power BI Developer (GeoLocation Specialist),https://wuzzuf.net/jobs/p/oq85bzq9ggmr-senior-power-bi-developer-geolocation-specialist-madar-soft-alexandria-egypt,Full TimeRemote,Madar Soft,Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling,"Fleming, Alexandria, Egypt "
data analysis,Manager Data Engineering,https://wuzzuf.net/jobs/p/xlmxpqiv28aw-manager-data-engineering-santechture-cairo-egypt,Full TimeHybrid,SANTECHTURE ,Full TimeHybridManager · 5 - 8 Yrs of Exp · IT/Software Development · Information Technology (IT) · Design · Computer Science · Engineering · Software · Database SQL Server · Communication · Java · Management,"Sheraton, Cairo, Egypt "
data analysis,Financial Planning & Analysis Team Leader,https://wuzzuf.net/jobs/p/nF5xweWdHIoP-Financial-Planning-Analysis-Team-Leader-Square-Engineering-Firm-Cairo-Egypt,Full TimeOn-site,Square Engineering Firm,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Financial Management · Analysis · Corporate Finance · Financial · Financial Analysis · Leadership · Financial Planning · Finance,"Madinaty, Cairo, Egypt "
